EmployeeKey,AttritionProbability,RiskBand,RecommendedAction
100648,0.1903,Low,Career path / promotion review
100649,0.2214,Low,Flexible or hybrid work option
100650,0.4299,Medium,Career path / promotion review
100651,0.092,Low,Retention conversation / stay interview
100652,0.0996,Low,Flexible or hybrid work option
100653,0.2921,Low,Retention conversation / stay interview
100654,0.1499,Low,Career path / promotion review
100655,0.3107,Low,Flexible or hybrid work option
100656,0.1562,Low,Compensation benchmarking review
100657,0.296,Low,Career path / promotion review
100658,0.162,Low,Flexible or hybrid work option
100659,0.236,Low,Manager check-in + workload review
100660,0.1841,Low,Flexible or hybrid work option
100661,0.1158,Low,Retention conversation / stay interview
100662,0.3943,Low,Career path / promotion review
100663,0.3134,Low,Career path / promotion review
100664,0.3318,Low,Career path / promotion review
100665,0.1422,Low,Career path / promotion review
100666,0.1755,Low,Flexible or hybrid work option
100667,0.1542,Low,Flexible or hybrid work option
100668,0.0386,Low,Retention conversation / stay interview
100669,0.2517,Low,Career path / promotion review
100670,0.5359,Medium,Manager check-in + workload review
100671,0.3155,Low,Career path / promotion review
100672,0.1528,Low,Retention conversation / stay interview
100673,0.3838,Low,Flexible or hybrid work option
100674,0.2718,Low,Career path / promotion review
100675,0.1196,Low,Flexible or hybrid work option
100676,0.2529,Low,Flexible or hybrid work option
100677,0.1056,Low,Flexible or hybrid work option
100678,0.1088,Low,Career path / promotion review
100679,0.3719,Low,Flexible or hybrid work option
100680,0.032,Low,Retention conversation / stay interview
100681,0.1636,Low,Retention conversation / stay interview
100682,0.3859,Low,Career path / promotion review
100683,0.3129,Low,Career path / promotion review
100684,0.3471,Low,Manager check-in + workload review
100685,0.143,Low,Flexible or hybrid work option
100686,0.2276,Low,Career path / promotion review
100687,0.0942,Low,Retention conversation / stay interview
100688,0.206,Low,Career path / promotion review
100689,0.1916,Low,Retention conversation / stay interview
100690,0.0877,Low,Compensation benchmarking review
100691,0.2451,Low,Career path / promotion review
100692,0.1193,Low,Career path / promotion review
100693,0.0779,Low,Retention conversation / stay interview
100694,0.0973,Low,Compensation benchmarking review
100695,0.0592,Low,Flexible or hybrid work option
100696,0.2292,Low,Retention conversation / stay interview
100697,0.4293,Medium,Career path / promotion review
100698,0.2414,Low,Flexible or hybrid work option
100699,0.0693,Low,Flexible or hybrid work option
100700,0.1516,Low,Retention conversation / stay interview
100701,0.2764,Low,Career path / promotion review
100702,0.2605,Low,Flexible or hybrid work option
100703,0.5878,Medium,Manager check-in + workload review
100704,0.3006,Low,Flexible or hybrid work option
100705,0.1177,Low,Flexible or hybrid work option
100706,0.2282,Low,Career path / promotion review
100707,0.2498,Low,Career path / promotion review
100708,0.3316,Low,Manager check-in + workload review
100709,0.1165,Low,Retention conversation / stay interview
100710,0.1559,Low,Career path / promotion review
100711,0.2038,Low,Flexible or hybrid work option
100712,0.1405,Low,Career path / promotion review
100713,0.2441,Low,Flexible or hybrid work option
100714,0.2091,Low,Career path / promotion review
100715,0.1972,Low,Career path / promotion review
100716,0.1498,Low,Retention conversation / stay interview
100717,0.1266,Low,Retention conversation / stay interview
100718,0.3088,Low,Flexible or hybrid work option
100719,0.0996,Low,Career path / promotion review
100720,0.043,Low,Retention conversation / stay interview
100721,0.1503,Low,Retention conversation / stay interview
100722,0.172,Low,Career path / promotion review
100723,0.363,Low,Manager check-in + workload review
100724,0.4489,Medium,Manager check-in + workload review
100725,0.5618,Medium,Manager check-in + workload review
100726,0.1116,Low,Career path / promotion review
100727,0.1566,Low,Flexible or hybrid work option
100728,0.2189,Low,Career path / promotion review
100729,0.1229,Low,Flexible or hybrid work option
100730,0.1228,Low,Flexible or hybrid work option
100731,0.0744,Low,Retention conversation / stay interview
100732,0.1141,Low,Retention conversation / stay interview
100733,0.2034,Low,Retention conversation / stay interview
100734,0.1418,Low,Retention conversation / stay interview
100735,0.1467,Low,Retention conversation / stay interview
100736,0.2269,Low,Career path / promotion review
100737,0.1337,Low,Career path / promotion review
100738,0.2693,Low,Career path / promotion review
100739,0.0798,Low,Flexible or hybrid work option
100740,0.3045,Low,Flexible or hybrid work option
100741,0.1876,Low,Career path / promotion review
100742,0.1097,Low,Career path / promotion review
100743,0.25,Low,Flexible or hybrid work option
100744,0.1541,Low,Flexible or hybrid work option
100745,0.254,Low,Career path / promotion review
100746,0.4217,Medium,Manager check-in + workload review
100747,0.0697,Low,Career path / promotion review
100748,0.1119,Low,Retention conversation / stay interview
100749,0.148,Low,Retention conversation / stay interview
100750,0.3486,Low,Career path / promotion review
100751,0.4241,Medium,Career path / promotion review
100752,0.3391,Low,Manager check-in + workload review
100753,0.1999,Low,Retention conversation / stay interview
100754,0.1061,Low,Retention conversation / stay interview
100755,0.1027,Low,Retention conversation / stay interview
100756,0.1487,Low,Career path / promotion review
100757,0.2076,Low,Manager check-in + workload review
100758,0.1837,Low,Career path / promotion review
100759,0.3593,Low,Flexible or hybrid work option
100760,0.2234,Low,Career path / promotion review
100761,0.3773,Low,Career path / promotion review
100762,0.5293,Medium,Career path / promotion review
100763,0.2402,Low,Flexible or hybrid work option
100764,0.1491,Low,Career path / promotion review
100765,0.2509,Low,Flexible or hybrid work option
100766,0.143,Low,Flexible or hybrid work option
100767,0.4006,Medium,Career path / promotion review
100768,0.0398,Low,Compensation benchmarking review
100769,0.2615,Low,Flexible or hybrid work option
100770,0.2153,Low,Career path / promotion review
100771,0.1279,Low,Compensation benchmarking review
100772,0.1194,Low,Retention conversation / stay interview
100773,0.254,Low,Career path / promotion review
100774,0.0532,Low,Compensation benchmarking review
100775,0.1839,Low,Career path / promotion review
100776,0.3531,Low,Career path / promotion review
100777,0.2827,Low,Career path / promotion review
100778,0.1082,Low,Career path / promotion review
100779,0.1822,Low,Career path / promotion review
100780,0.2509,Low,Career path / promotion review
100781,0.3791,Low,Career path / promotion review
100782,0.4792,Medium,Career path / promotion review
100783,0.1702,Low,Career path / promotion review
100784,0.2057,Low,Career path / promotion review
100785,0.3031,Low,Career path / promotion review
100786,0.1387,Low,Flexible or hybrid work option
100787,0.1555,Low,Career path / promotion review
100788,0.1321,Low,Retention conversation / stay interview
100789,0.1879,Low,Career path / promotion review
100790,0.2442,Low,Career path / promotion review
100791,0.5337,Medium,Manager check-in + workload review
100792,0.1609,Low,Career path / promotion review
100793,0.2646,Low,Career path / promotion review
100794,0.2348,Low,Career path / promotion review
100795,0.5206,Medium,Career path / promotion review
100796,0.2386,Low,Career path / promotion review
100797,0.0763,Low,Career path / promotion review
100798,0.0305,Low,Retention conversation / stay interview
100799,0.1128,Low,Retention conversation / stay interview
100800,0.0925,Low,Retention conversation / stay interview
100801,0.23,Low,Retention conversation / stay interview
100802,0.0551,Low,Retention conversation / stay interview
100803,0.0528,Low,Retention conversation / stay interview
100804,0.1009,Low,Flexible or hybrid work option
100805,0.1603,Low,Career path / promotion review
100806,0.2088,Low,Career path / promotion review
100807,0.1611,Low,Compensation benchmarking review
100808,0.1889,Low,Retention conversation / stay interview
100809,0.1108,Low,Flexible or hybrid work option
100810,0.1298,Low,Retention conversation / stay interview
100811,0.1373,Low,Flexible or hybrid work option
100812,0.153,Low,Flexible or hybrid work option
100813,0.1837,Low,Flexible or hybrid work option
100814,0.1773,Low,Retention conversation / stay interview
100815,0.2212,Low,Career path / promotion review
100816,0.1425,Low,Career path / promotion review
100817,0.3418,Low,Flexible or hybrid work option
100818,0.3499,Low,Career path / promotion review
100819,0.1106,Low,Flexible or hybrid work option
100820,0.1734,Low,Flexible or hybrid work option
100821,0.0493,Low,Retention conversation / stay interview
100822,0.1171,Low,Career path / promotion review
100823,0.4446,Medium,Manager check-in + workload review
100824,0.2654,Low,Career path / promotion review
100825,0.0585,Low,Retention conversation / stay interview
100826,0.1923,Low,Retention conversation / stay interview
100827,0.2056,Low,Career path / promotion review
100828,0.1057,Low,Flexible or hybrid work option
100829,0.3206,Low,Career path / promotion review
100830,0.3741,Low,Career path / promotion review
100831,0.3313,Low,Career path / promotion review
100832,0.1495,Low,Flexible or hybrid work option
100833,0.2836,Low,Flexible or hybrid work option
100834,0.1254,Low,Flexible or hybrid work option
100835,0.1641,Low,Retention conversation / stay interview
100836,0.1196,Low,Career path / promotion review
100837,0.1907,Low,Career path / promotion review
100838,0.1155,Low,Retention conversation / stay interview
100839,0.1289,Low,Career path / promotion review
100840,0.201,Low,Career path / promotion review
100841,0.0594,Low,Retention conversation / stay interview
100842,0.4657,Medium,Manager check-in + workload review
100843,0.1589,Low,Retention conversation / stay interview
100844,0.2283,Low,Flexible or hybrid work option
100845,0.0863,Low,Flexible or hybrid work option
100846,0.3772,Low,Manager check-in + workload review
100847,0.1557,Low,Flexible or hybrid work option
100848,0.1362,Low,Retention conversation / stay interview
100849,0.2288,Low,Career path / promotion review
100850,0.2425,Low,Flexible or hybrid work option
100851,0.1203,Low,Retention conversation / stay interview
100852,0.148,Low,Compensation benchmarking review
100853,0.0647,Low,Retention conversation / stay interview
100854,0.1812,Low,Career path / promotion review
100855,0.1193,Low,Career path / promotion review
100856,0.1845,Low,Retention conversation / stay interview
100857,0.2182,Low,Career path / promotion review
100858,0.0751,Low,Career path / promotion review
100859,0.1081,Low,Career path / promotion review
100860,0.1648,Low,Career path / promotion review
100861,0.3184,Low,Career path / promotion review
100862,0.1011,Low,Career path / promotion review
100863,0.1068,Low,Flexible or hybrid work option
100864,0.0937,Low,Career path / promotion review
100865,0.1425,Low,Career path / promotion review
100866,0.1334,Low,Career path / promotion review
100867,0.2639,Low,Career path / promotion review
100868,0.3865,Low,Career path / promotion review
100869,0.5409,Medium,Manager check-in + workload review
100870,0.3253,Low,Career path / promotion review
100871,0.1998,Low,Career path / promotion review
100872,0.2846,Low,Manager check-in + workload review
100873,0.2953,Low,Flexible or hybrid work option
100874,0.2053,Low,Career path / promotion review
100875,0.0896,Low,Compensation benchmarking review
100876,0.229,Low,Flexible or hybrid work option
100877,0.116,Low,Compensation benchmarking review
100878,0.1816,Low,Career path / promotion review
100879,0.2058,Low,Flexible or hybrid work option
100880,0.0901,Low,Compensation benchmarking review
100881,0.1419,Low,Career path / promotion review
100882,0.4302,Medium,Career path / promotion review
100883,0.1256,Low,Career path / promotion review
100884,0.2359,Low,Career path / promotion review
100885,0.4922,Medium,Manager check-in + workload review
100886,0.1025,Low,Compensation benchmarking review
100887,0.2897,Low,Manager check-in + workload review
100888,0.1869,Low,Career path / promotion review
100889,0.2344,Low,Career path / promotion review
100890,0.2174,Low,Career path / promotion review
100891,0.3386,Low,Manager check-in + workload review
100892,0.4323,Medium,Manager check-in + workload review
100893,0.0671,Low,Flexible or hybrid work option
100894,0.3617,Low,Flexible or hybrid work option
100895,0.2686,Low,Career path / promotion review
100896,0.1015,Low,Compensation benchmarking review
100897,0.0625,Low,Retention conversation / stay interview
100898,0.1131,Low,Retention conversation / stay interview
100899,0.1854,Low,Career path / promotion review
100900,0.1066,Low,Retention conversation / stay interview
100901,0.2,Low,Retention conversation / stay interview
100902,0.0667,Low,Retention conversation / stay interview
100903,0.061,Low,Career path / promotion review
100904,0.1751,Low,Career path / promotion review
100905,0.1791,Low,Compensation benchmarking review
100906,0.0605,Low,Retention conversation / stay interview
100907,0.1539,Low,Career path / promotion review
100908,0.3346,Low,Career path / promotion review
100909,0.1236,Low,Career path / promotion review
100910,0.091,Low,Retention conversation / stay interview
100911,0.1633,Low,Retention conversation / stay interview
100912,0.4326,Medium,Manager check-in + workload review
100913,0.147,Low,Flexible or hybrid work option
100914,0.3077,Low,Career path / promotion review
100915,0.2661,Low,Manager check-in + workload review
100916,0.1846,Low,Flexible or hybrid work option
100917,0.2821,Low,Flexible or hybrid work option
100918,0.1862,Low,Flexible or hybrid work option
100919,0.2424,Low,Career path / promotion review
100920,0.0871,Low,Career path / promotion review
100921,0.2419,Low,Career path / promotion review
100922,0.0727,Low,Compensation benchmarking review
100923,0.3788,Low,Manager check-in + workload review
100924,0.3485,Low,Manager check-in + workload review
100925,0.1932,Low,Career path / promotion review
100926,0.1896,Low,Retention conversation / stay interview
100927,0.256,Low,Manager check-in + workload review
100928,0.2881,Low,Career path / promotion review
100929,0.092,Low,Career path / promotion review
100930,0.1866,Low,Career path / promotion review
100931,0.2597,Low,Career path / promotion review
100932,0.2141,Low,Retention conversation / stay interview
100933,0.3258,Low,Manager check-in + workload review
100934,0.1399,Low,Compensation benchmarking review
100935,0.1661,Low,Career path / promotion review
100936,0.2403,Low,Manager check-in + workload review
100937,0.4052,Medium,Flexible or hybrid work option
100938,0.1069,Low,Career path / promotion review
100939,0.4313,Medium,Career path / promotion review
100940,0.2145,Low,Compensation benchmarking review
100941,0.1535,Low,Career path / promotion review
100942,0.438,Medium,Career path / promotion review
100943,0.1638,Low,Compensation benchmarking review
100944,0.111,Low,Flexible or hybrid work option
100945,0.3877,Low,Manager check-in + workload review
100946,0.2321,Low,Career path / promotion review
100947,0.088,Low,Career path / promotion review
100948,0.1219,Low,Career path / promotion review
100949,0.1919,Low,Manager check-in + workload review
100950,0.1848,Low,Career path / promotion review
100951,0.0949,Low,Career path / promotion review
100952,0.31,Low,Flexible or hybrid work option
100953,0.2922,Low,Career path / promotion review
100954,0.0851,Low,Career path / promotion review
100955,0.0661,Low,Flexible or hybrid work option
100956,0.3334,Low,Career path / promotion review
100957,0.1278,Low,Flexible or hybrid work option
100958,0.259,Low,Career path / promotion review
100959,0.1514,Low,Career path / promotion review
100960,0.1321,Low,Career path / promotion review
100961,0.1361,Low,Flexible or hybrid work option
100962,0.0524,Low,Retention conversation / stay interview
100963,0.3339,Low,Flexible or hybrid work option
100964,0.1965,Low,Flexible or hybrid work option
100965,0.5045,Medium,Manager check-in + workload review
100966,0.0592,Low,Retention conversation / stay interview
100967,0.1873,Low,Career path / promotion review
100968,0.072,Low,Retention conversation / stay interview
100969,0.1267,Low,Retention conversation / stay interview
100970,0.1149,Low,Career path / promotion review
100971,0.1004,Low,Retention conversation / stay interview
100972,0.1982,Low,Career path / promotion review
100973,0.2295,Low,Flexible or hybrid work option
100974,0.4288,Medium,Career path / promotion review
100975,0.2055,Low,Career path / promotion review
100976,0.0853,Low,Flexible or hybrid work option
100977,0.1513,Low,Career path / promotion review
100978,0.12,Low,Flexible or hybrid work option
100979,0.2841,Low,Flexible or hybrid work option
100980,0.1137,Low,Career path / promotion review
100981,0.1075,Low,Retention conversation / stay interview
100982,0.0717,Low,Career path / promotion review
100983,0.0508,Low,Retention conversation / stay interview
100984,0.1508,Low,Flexible or hybrid work option
100985,0.3192,Low,Flexible or hybrid work option
100986,0.0518,Low,Career path / promotion review
100987,0.2622,Low,Retention conversation / stay interview
100988,0.0946,Low,Career path / promotion review
100989,0.5282,Medium,Manager check-in + workload review
100990,0.1917,Low,Retention conversation / stay interview
100991,0.1588,Low,Career path / promotion review
100992,0.0787,Low,Career path / promotion review
100993,0.2261,Low,Career path / promotion review
100994,0.3384,Low,Career path / promotion review
100995,0.0591,Low,Retention conversation / stay interview
100996,0.1495,Low,Flexible or hybrid work option
100997,0.3022,Low,Manager check-in + workload review
100998,0.5082,Medium,Manager check-in + workload review
100999,0.3358,Low,Flexible or hybrid work option
101000,0.1516,Low,Career path / promotion review
101001,0.2525,Low,Career path / promotion review
101002,0.2262,Low,Career path / promotion review
101003,0.1531,Low,Career path / promotion review
101004,0.2003,Low,Career path / promotion review
101005,0.1187,Low,Career path / promotion review
101006,0.0605,Low,Retention conversation / stay interview
101007,0.1156,Low,Flexible or hybrid work option
101008,0.0937,Low,Flexible or hybrid work option
101009,0.1775,Low,Manager check-in + workload review
101010,0.2155,Low,Retention conversation / stay interview
101011,0.2482,Low,Career path / promotion review
101012,0.1717,Low,Career path / promotion review
101013,0.1379,Low,Compensation benchmarking review
101014,0.1027,Low,Retention conversation / stay interview
101015,0.1177,Low,Flexible or hybrid work option
101016,0.174,Low,Career path / promotion review
101017,0.2436,Low,Flexible or hybrid work option
101018,0.1874,Low,Career path / promotion review
101019,0.1136,Low,Career path / promotion review
101020,0.359,Low,Manager check-in + workload review
101021,0.1979,Low,Career path / promotion review
101022,0.1056,Low,Flexible or hybrid work option
101023,0.3119,Low,Career path / promotion review
101024,0.1843,Low,Career path / promotion review
101025,0.3205,Low,Career path / promotion review
101026,0.0327,Low,Compensation benchmarking review
101027,0.2109,Low,Flexible or hybrid work option
101028,0.2596,Low,Flexible or hybrid work option
101029,0.3539,Low,Career path / promotion review
101030,0.1307,Low,Career path / promotion review
101031,0.1756,Low,Career path / promotion review
101032,0.1512,Low,Retention conversation / stay interview
101033,0.295,Low,Flexible or hybrid work option
101034,0.24,Low,Retention conversation / stay interview
101035,0.0935,Low,Retention conversation / stay interview
101036,0.1868,Low,Flexible or hybrid work option
101037,0.3418,Low,Flexible or hybrid work option
101038,0.235,Low,Career path / promotion review
101039,0.3336,Low,Manager check-in + workload review
101040,0.1703,Low,Career path / promotion review
101041,0.0733,Low,Career path / promotion review
101042,0.1727,Low,Retention conversation / stay interview
101043,0.2552,Low,Career path / promotion review
101044,0.2284,Low,Flexible or hybrid work option
101045,0.0519,Low,Retention conversation / stay interview
101046,0.3057,Low,Manager check-in + workload review
101047,0.1979,Low,Career path / promotion review
101048,0.1087,Low,Career path / promotion review
101049,0.3488,Low,Flexible or hybrid work option
101050,0.0745,Low,Career path / promotion review
101051,0.2098,Low,Retention conversation / stay interview
101052,0.1751,Low,Career path / promotion review
101053,0.2,Low,Flexible or hybrid work option
101054,0.185,Low,Career path / promotion review
101055,0.1152,Low,Retention conversation / stay interview
101056,0.1238,Low,Retention conversation / stay interview
101057,0.1516,Low,Flexible or hybrid work option
101058,0.0577,Low,Retention conversation / stay interview
101059,0.1535,Low,Retention conversation / stay interview
101060,0.3145,Low,Career path / promotion review
101061,0.2396,Low,Flexible or hybrid work option
101062,0.1604,Low,Career path / promotion review
101063,0.3333,Low,Career path / promotion review
101064,0.3274,Low,Manager check-in + workload review
101065,0.2143,Low,Career path / promotion review
101066,0.0532,Low,Flexible or hybrid work option
101067,0.2684,Low,Career path / promotion review
101068,0.11,Low,Career path / promotion review
101069,0.1358,Low,Flexible or hybrid work option
101070,0.4336,Medium,Flexible or hybrid work option
101071,0.1798,Low,Career path / promotion review
101072,0.0508,Low,Compensation benchmarking review
101073,0.2145,Low,Retention conversation / stay interview
101074,0.127,Low,Career path / promotion review
101075,0.2052,Low,Career path / promotion review
101076,0.2573,Low,Flexible or hybrid work option
101077,0.0987,Low,Flexible or hybrid work option
101078,0.4163,Medium,Manager check-in + workload review
101079,0.3498,Low,Flexible or hybrid work option
101080,0.1782,Low,Career path / promotion review
101081,0.3566,Low,Manager check-in + workload review
101082,0.1438,Low,Career path / promotion review
101083,0.2589,Low,Flexible or hybrid work option
101084,0.1548,Low,Career path / promotion review
101085,0.3127,Low,Career path / promotion review
101086,0.1039,Low,Career path / promotion review
101087,0.4554,Medium,Manager check-in + workload review
101088,0.1299,Low,Flexible or hybrid work option
101089,0.0922,Low,Career path / promotion review
101090,0.0513,Low,Retention conversation / stay interview
101091,0.126,Low,Career path / promotion review
101092,0.1614,Low,Flexible or hybrid work option
101093,0.1601,Low,Retention conversation / stay interview
101094,0.1,Low,Flexible or hybrid work option
101095,0.2539,Low,Career path / promotion review
101096,0.0814,Low,Flexible or hybrid work option
101097,0.1149,Low,Retention conversation / stay interview
101098,0.133,Low,Career path / promotion review
101099,0.1777,Low,Career path / promotion review
101100,0.0716,Low,Career path / promotion review
101101,0.1941,Low,Retention conversation / stay interview
101102,0.3213,Low,Manager check-in + workload review
101103,0.1953,Low,Compensation benchmarking review
101104,0.1508,Low,Career path / promotion review
101105,0.0489,Low,Retention conversation / stay interview
101106,0.2994,Low,Career path / promotion review
101107,0.0697,Low,Career path / promotion review
101108,0.3258,Low,Career path / promotion review
101109,0.23,Low,Flexible or hybrid work option
101110,0.129,Low,Retention conversation / stay interview
101111,0.3023,Low,Career path / promotion review
101112,0.098,Low,Career path / promotion review
101113,0.1292,Low,Career path / promotion review
101114,0.4862,Medium,Manager check-in + workload review
101115,0.264,Low,Career path / promotion review
101116,0.0736,Low,Retention conversation / stay interview
101117,0.2522,Low,Flexible or hybrid work option
101118,0.5326,Medium,Manager check-in + workload review
101119,0.2577,Low,Flexible or hybrid work option
101120,0.3485,Low,Flexible or hybrid work option
101121,0.247,Low,Flexible or hybrid work option
101122,0.3699,Low,Career path / promotion review
101123,0.1475,Low,Compensation benchmarking review
101124,0.3998,Low,Career path / promotion review
101125,0.1996,Low,Flexible or hybrid work option
101126,0.1565,Low,Compensation benchmarking review
101127,0.2601,Low,Career path / promotion review
101128,0.2281,Low,Career path / promotion review
101129,0.0725,Low,Retention conversation / stay interview
101130,0.0372,Low,Retention conversation / stay interview
101131,0.3555,Low,Manager check-in + workload review
101132,0.1284,Low,Retention conversation / stay interview
101133,0.4596,Medium,Manager check-in + workload review
101134,0.229,Low,Retention conversation / stay interview
101135,0.1373,Low,Career path / promotion review
101136,0.4082,Medium,Manager check-in + workload review
101137,0.1122,Low,Flexible or hybrid work option
101138,0.1917,Low,Career path / promotion review
101139,0.1943,Low,Career path / promotion review
101140,0.2009,Low,Retention conversation / stay interview
101141,0.467,Medium,Manager check-in + workload review
101142,0.1634,Low,Flexible or hybrid work option
101143,0.4397,Medium,Manager check-in + workload review
101144,0.3941,Low,Manager check-in + workload review
101145,0.1974,Low,Career path / promotion review
101146,0.1747,Low,Retention conversation / stay interview
101147,0.0889,Low,Flexible or hybrid work option
101148,0.0643,Low,Flexible or hybrid work option
101149,0.4687,Medium,Manager check-in + workload review
101150,0.3346,Low,Flexible or hybrid work option
101151,0.1763,Low,Career path / promotion review
101152,0.2191,Low,Career path / promotion review
101153,0.213,Low,Flexible or hybrid work option
101154,0.3167,Low,Career path / promotion review
101155,0.5144,Medium,Manager check-in + workload review
101156,0.1058,Low,Career path / promotion review
101157,0.2773,Low,Flexible or hybrid work option
101158,0.3429,Low,Career path / promotion review
101159,0.2179,Low,Flexible or hybrid work option
101160,0.2291,Low,Manager check-in + workload review
101161,0.2261,Low,Career path / promotion review
101162,0.1067,Low,Flexible or hybrid work option
101163,0.1013,Low,Career path / promotion review
101164,0.1517,Low,Career path / promotion review
101165,0.0932,Low,Career path / promotion review
101166,0.1118,Low,Flexible or hybrid work option
101167,0.1105,Low,Career path / promotion review
101168,0.0467,Low,Retention conversation / stay interview
101169,0.203,Low,Career path / promotion review
101170,0.1258,Low,Flexible or hybrid work option
101171,0.1624,Low,Career path / promotion review
101172,0.1388,Low,Career path / promotion review
101173,0.2084,Low,Career path / promotion review
101174,0.1629,Low,Flexible or hybrid work option
101175,0.109,Low,Retention conversation / stay interview
101176,0.2342,Low,Flexible or hybrid work option
101177,0.1348,Low,Retention conversation / stay interview
101178,0.109,Low,Retention conversation / stay interview
101179,0.1819,Low,Career path / promotion review
101180,0.0879,Low,Retention conversation / stay interview
101181,0.0639,Low,Career path / promotion review
101182,0.2792,Low,Career path / promotion review
101183,0.1157,Low,Flexible or hybrid work option
101184,0.0491,Low,Career path / promotion review
101185,0.2026,Low,Career path / promotion review
101186,0.2627,Low,Manager check-in + workload review
101187,0.0504,Low,Career path / promotion review
101188,0.1187,Low,Career path / promotion review
101189,0.0583,Low,Flexible or hybrid work option
101190,0.2151,Low,Career path / promotion review
101191,0.1326,Low,Career path / promotion review
101192,0.1001,Low,Career path / promotion review
101193,0.1437,Low,Career path / promotion review
101194,0.2461,Low,Manager check-in + workload review
101195,0.452,Medium,Manager check-in + workload review
101196,0.3513,Low,Manager check-in + workload review
101197,0.1848,Low,Career path / promotion review
101198,0.0905,Low,Career path / promotion review
101199,0.2321,Low,Career path / promotion review
101200,0.1442,Low,Career path / promotion review
101201,0.2201,Low,Career path / promotion review
101202,0.3612,Low,Manager check-in + workload review
101203,0.3534,Low,Career path / promotion review
101204,0.0462,Low,Retention conversation / stay interview
101205,0.2842,Low,Manager check-in + workload review
101206,0.0841,Low,Career path / promotion review
101207,0.2419,Low,Career path / promotion review
101208,0.1837,Low,Retention conversation / stay interview
101209,0.061,Low,Retention conversation / stay interview
101210,0.1029,Low,Retention conversation / stay interview
101211,0.0936,Low,Flexible or hybrid work option
101212,0.2834,Low,Career path / promotion review
101213,0.359,Low,Career path / promotion review
101214,0.4381,Medium,Manager check-in + workload review
101215,0.2318,Low,Career path / promotion review
101216,0.0538,Low,Retention conversation / stay interview
101217,0.1901,Low,Manager check-in + workload review
101218,0.0717,Low,Retention conversation / stay interview
101219,0.1129,Low,Flexible or hybrid work option
101220,0.277,Low,Career path / promotion review
101221,0.4279,Medium,Manager check-in + workload review
101222,0.2868,Low,Career path / promotion review
101223,0.0977,Low,Flexible or hybrid work option
101224,0.3872,Low,Flexible or hybrid work option
101225,0.1635,Low,Flexible or hybrid work option
101226,0.1431,Low,Flexible or hybrid work option
101227,0.2306,Low,Retention conversation / stay interview
101228,0.1014,Low,Retention conversation / stay interview
101229,0.1419,Low,Flexible or hybrid work option
101230,0.1017,Low,Retention conversation / stay interview
101231,0.1666,Low,Retention conversation / stay interview
101232,0.052,Low,Retention conversation / stay interview
101233,0.2284,Low,Career path / promotion review
101234,0.098,Low,Flexible or hybrid work option
101235,0.157,Low,Career path / promotion review
101236,0.2791,Low,Career path / promotion review
101237,0.4824,Medium,Manager check-in + workload review
101238,0.2201,Low,Retention conversation / stay interview
101239,0.1481,Low,Career path / promotion review
101240,0.2013,Low,Manager check-in + workload review
101241,0.2402,Low,Retention conversation / stay interview
101242,0.3032,Low,Career path / promotion review
101243,0.1953,Low,Retention conversation / stay interview
101244,0.135,Low,Retention conversation / stay interview
101245,0.1877,Low,Career path / promotion review
101246,0.4216,Medium,Manager check-in + workload review
101247,0.1286,Low,Flexible or hybrid work option
101248,0.2741,Low,Career path / promotion review
101249,0.0805,Low,Career path / promotion review
101250,0.1214,Low,Retention conversation / stay interview
101251,0.2,Low,Career path / promotion review
101252,0.0764,Low,Retention conversation / stay interview
101253,0.3174,Low,Career path / promotion review
101254,0.0991,Low,Career path / promotion review
101255,0.0703,Low,Career path / promotion review
101256,0.3113,Low,Manager check-in + workload review
101257,0.5561,Medium,Manager check-in + workload review
101258,0.1367,Low,Career path / promotion review
101259,0.0557,Low,Career path / promotion review
101260,0.2231,Low,Career path / promotion review
101261,0.1543,Low,Flexible or hybrid work option
101262,0.1097,Low,Career path / promotion review
101263,0.2103,Low,Career path / promotion review
101264,0.1594,Low,Career path / promotion review
101265,0.1985,Low,Retention conversation / stay interview
101266,0.2489,Low,Manager check-in + workload review
101267,0.1993,Low,Career path / promotion review
101268,0.0516,Low,Retention conversation / stay interview
101269,0.2779,Low,Manager check-in + workload review
101270,0.184,Low,Career path / promotion review
101271,0.2331,Low,Compensation benchmarking review
101272,0.071,Low,Flexible or hybrid work option
101273,0.1901,Low,Career path / promotion review
101274,0.4252,Medium,Career path / promotion review
101275,0.2912,Low,Flexible or hybrid work option
101276,0.4807,Medium,Manager check-in + workload review
101277,0.0744,Low,Career path / promotion review
101278,0.104,Low,Flexible or hybrid work option
101279,0.674,High,Manager check-in + workload review
101280,0.0545,Low,Flexible or hybrid work option
101281,0.1601,Low,Career path / promotion review
101282,0.2344,Low,Career path / promotion review
101283,0.0878,Low,Flexible or hybrid work option
101284,0.2318,Low,Career path / promotion review
101285,0.1729,Low,Retention conversation / stay interview
101286,0.4144,Medium,Manager check-in + workload review
101287,0.2624,Low,Flexible or hybrid work option
101288,0.0947,Low,Flexible or hybrid work option
101289,0.1804,Low,Career path / promotion review
101290,0.3779,Low,Manager check-in + workload review
101291,0.2027,Low,Career path / promotion review
101292,0.2429,Low,Flexible or hybrid work option
101293,0.153,Low,Flexible or hybrid work option
101294,0.5084,Medium,Manager check-in + workload review
101295,0.21,Low,Career path / promotion review
101296,0.0591,Low,Retention conversation / stay interview
101297,0.1681,Low,Career path / promotion review
